<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20160222,00:00,90.6200000,97.4300000,90.5700000,96.8100000,45166550
MOEX,W,20160229,00:00,96.1300000,99.4300000,95.7100000,99.0000000,42569770
MOEX,W,20160307,00:00,99.1700000,103.8500000,98.3000000,101.4000000,33130970
MOEX,W,20160314,00:00,101.1000000,108.7700000,100.6000000,105.2000000,84899760
MOEX,W,20160321,00:00,105.7600000,106.3000000,102.6600000,104.8800000,39902620
MOEX,W,20160328,00:00,105.0000000,105.9800000,99.2000000,105.0500000,51863390
MOEX,W,20160404,00:00,104.9200000,105.4900000,101.3400000,104.2000000,27971500
MOEX,W,20160411,00:00,104.4000000,106.0000000,101.6500000,102.0500000,31991650
MOEX,W,20160418,00:00,100.8700000,112.5400000,100.5800000,109.9500000,49310660
MOEX,W,20160425,00:00,109.9800000,110.7200000,101.1300000,102.1500000,43404380
MOEX,W,20160502,00:00,101.7000000,107.3400000,101.5000000,103.9300000,19255620
MOEX,W,20160509,00:00,104.0000000,107.9000000,101.6000000,104.3200000,41993630
MOEX,W,20160516,00:00,104.6100000,105.7800000,102.1000000,104.0000000,24013980
MOEX,W,20160523,00:00,104.2200000,106.9700000,102.5500000,106.9400000,33091680
MOEX,W,20160530,00:00,106.7800000,111.1800000,105.6000000,109.1000000,35362090
MOEX,W,20160606,00:00,108.8300000,113.8300000,107.6600000,110.8100000,37781940
MOEX,W,20160613,00:00,111.0000000,115.9400000,110.7600000,113.0900000,31307900
MOEX,W,20160620,00:00,113.7600000,119.2600000,112.2100000,114.1000000,25598810
MOEX,W,20160627,00:00,114.2400000,116.1900000,110.7000000,112.4400000,17842060
MOEX,W,20160704,00:00,112.4700000,115.5000000,109.8800000,115.2200000,21281680
MOEX,W,20160711,00:00,115.0700000,120.9000000,115.0000000,120.0000000,29112980
MOEX,W,20160718,00:00,119.3100000,120.0900000,112.7600000,115.9500000,25137290
MOEX,W,20160725,00:00,116.0800000,118.1100000,112.3400000,113.5100000,24338550
MOEX,W,20160801,00:00,113.5500000,116.4700000,110.6000000,114.8700000,26486820
MOEX,W,20160808,00:00,114.9000000,123.3200000,114.8000000,123.0000000,34541540
MOEX,W,20160815,00:00,123.4500000,129.4400000,122.9900000,126.0000000,31360620
MOEX,W,20160822,00:00,125.8500000,131.3500000,124.1500000,130.7500000,18983240
MOEX,W,20160829,00:00,130.1900000,132.4000000,126.0100000,128.4500000,19978280
MOEX,W,20160905,00:00,128.4500000,130.4700000,126.4800000,126.5500000,13867030
MOEX,W,20160912,00:00,126.2300000,127.8300000,120.8200000,122.9900000,28466330
MOEX,W,20160919,00:00,123.0000000,131.5000000,122.5000000,129.6000000,26101070
MOEX,W,20160926,00:00,128.7400000,128.7800000,122.5200000,126.6000000,29166510
