<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,20220427,00:00,1748.6000000
YNDX,D,20220428,00:00,1721.0000000
YNDX,D,20220429,00:00,1766.6000000
YNDX,D,20220504,00:00,1699.0000000
YNDX,D,20220505,00:00,1734.4000000
YNDX,D,20220506,00:00,1688.0000000
YNDX,D,20220511,00:00,1677.4000000
YNDX,D,20220512,00:00,1594.0000000
YNDX,D,20220513,00:00,1593.0000000
YNDX,D,20220516,00:00,1638.2000000
YNDX,D,20220517,00:00,1701.0000000
YNDX,D,20220518,00:00,1715.8000000
YNDX,D,20220519,00:00,1705.0000000
YNDX,D,20220520,00:00,1646.0000000
YNDX,D,20220523,00:00,1592.8000000
YNDX,D,20220524,00:00,1590.0000000
YNDX,D,20220525,00:00,1608.0000000
YNDX,D,20220526,00:00,1670.0000000
YNDX,D,20220527,00:00,1644.0000000
YNDX,D,20220530,00:00,1597.6000000
YNDX,D,20220531,00:00,1567.8000000
YNDX,D,20220601,00:00,1586.0000000
YNDX,D,20220602,00:00,1592.0000000
YNDX,D,20220603,00:00,1497.0000000
YNDX,D,20220606,00:00,1399.8000000
YNDX,D,20220607,00:00,1438.0000000
YNDX,D,20220608,00:00,1456.2000000
YNDX,D,20220609,00:00,1401.4000000
YNDX,D,20220610,00:00,1400.8000000
YNDX,D,20220614,00:00,1386.0000000
YNDX,D,20220615,00:00,1390.0000000
YNDX,D,20220616,00:00,1456.2000000
YNDX,D,20220617,00:00,1465.0000000
YNDX,D,20220620,00:00,1560.8000000
YNDX,D,20220621,00:00,1533.8000000
YNDX,D,20220622,00:00,1600.0000000
YNDX,D,20220623,00:00,1662.0000000
YNDX,D,20220624,00:00,1645.0000000
YNDX,D,20220627,00:00,1779.0000000
YNDX,D,20220628,00:00,1750.0000000
YNDX,D,20220629,00:00,1712.0000000
YNDX,D,20220630,00:00,1603.8000000
YNDX,D,20220701,00:00,1596.0000000
YNDX,D,20220704,00:00,1660.0000000
YNDX,D,20220705,00:00,1701.4000000
YNDX,D,20220706,00:00,1655.0000000
YNDX,D,20220707,00:00,1711.0000000
YNDX,D,20220708,00:00,1704.0000000
YNDX,D,20220711,00:00,1678.0000000
YNDX,D,20220712,00:00,1660.6000000
YNDX,D,20220713,00:00,1600.0000000
YNDX,D,20220714,00:00,1613.6000000
YNDX,D,20220715,00:00,1638.6000000
YNDX,D,20220718,00:00,1696.0000000
YNDX,D,20220719,00:00,1672.4000000
YNDX,D,20220720,00:00,1715.4000000
YNDX,D,20220721,00:00,1701.0000000
YNDX,D,20220722,00:00,1800.0000000
YNDX,D,20220725,00:00,1973.0000000
YNDX,D,20220726,00:00,2136.0000000
YNDX,D,20220727,00:00,2072.0000000
YNDX,D,20220728,00:00,2063.0000000
YNDX,D,20220729,00:00,1952.0000000
YNDX,D,20220801,00:00,1926.2000000
YNDX,D,20220802,00:00,1891.2000000
YNDX,D,20220803,00:00,1956.0000000
YNDX,D,20220804,00:00,2000.0000000
YNDX,D,20220805,00:00,1837.0000000
YNDX,D,20220808,00:00,1933.0000000
YNDX,D,20220809,00:00,1944.4000000
YNDX,D,20220810,00:00,1971.8000000
YNDX,D,20220811,00:00,1915.6000000
YNDX,D,20220812,00:00,1903.0000000
YNDX,D,20220815,00:00,1904.0000000
YNDX,D,20220816,00:00,1935.0000000
YNDX,D,20220817,00:00,1958.0000000
YNDX,D,20220818,00:00,1966.0000000
YNDX,D,20220819,00:00,1936.6000000
YNDX,D,20220822,00:00,2006.0000000
YNDX,D,20220823,00:00,2082.2000000
YNDX,D,20220824,00:00,2085.2000000
YNDX,D,20220825,00:00,2118.8000000
YNDX,D,20220826,00:00,2100.0000000
YNDX,D,20220829,00:00,2105.0000000
YNDX,D,20220830,00:00,2190.0000000
YNDX,D,20220831,00:00,2170.6000000
YNDX,D,20220901,00:00,2178.0000000
YNDX,D,20220902,00:00,2150.0000000
YNDX,D,20220905,00:00,2155.0000000
YNDX,D,20220906,00:00,2070.0000000
YNDX,D,20220907,00:00,2076.0000000
YNDX,D,20220908,00:00,2064.0000000
YNDX,D,20220909,00:00,2093.0000000
YNDX,D,20220912,00:00,2148.6000000
YNDX,D,20220913,00:00,2191.4000000
YNDX,D,20220914,00:00,2167.4000000
YNDX,D,20220915,00:00,2177.6000000
YNDX,D,20220916,00:00,2206.0000000
YNDX,D,20220919,00:00,2230.0000000
YNDX,D,20220920,00:00,2010.0000000
YNDX,D,20220921,00:00,1899.4000000
YNDX,D,20220922,00:00,1916.8000000
YNDX,D,20220923,00:00,1791.8000000
YNDX,D,20220926,00:00,1543.0000000
YNDX,D,20220927,00:00,1713.2000000
YNDX,D,20220928,00:00,1780.0000000
YNDX,D,20220929,00:00,1840.6000000
YNDX,D,20220930,00:00,1877.6000000
YNDX,D,20221003,00:00,1959.0000000
YNDX,D,20221004,00:00,1985.0000000
YNDX,D,20221005,00:00,2029.8000000
YNDX,D,20221006,00:00,2004.4000000
YNDX,D,20221007,00:00,1930.2000000
YNDX,D,20221010,00:00,1998.0000000
YNDX,D,20221011,00:00,2006.6000000
YNDX,D,20221012,00:00,2044.0000000
YNDX,D,20221013,00:00,2032.0000000
YNDX,D,20221014,00:00,1991.0000000
YNDX,D,20221017,00:00,2022.2000000
YNDX,D,20221018,00:00,1968.0000000
YNDX,D,20221019,00:00,1927.4000000
YNDX,D,20221020,00:00,1928.8000000
YNDX,D,20221021,00:00,1976.0000000
YNDX,D,20221024,00:00,1973.4000000
YNDX,D,20221025,00:00,2020.2000000
YNDX,D,20221026,00:00,2008.0000000
YNDX,D,20221027,00:00,2021.0000000
YNDX,D,20221028,00:00,2021.8000000
YNDX,D,20221031,00:00,2109.0000000
YNDX,D,20221101,00:00,2157.0000000
YNDX,D,20221102,00:00,2110.0000000
YNDX,D,20221103,00:00,2119.0000000
YNDX,D,20221107,00:00,2151.6000000
YNDX,D,20221108,00:00,2127.6000000
YNDX,D,20221109,00:00,2060.4000000
YNDX,D,20221110,00:00,2111.6000000
YNDX,D,20221111,00:00,2122.2000000
YNDX,D,20221114,00:00,2132.4000000
YNDX,D,20221115,00:00,2071.6000000
YNDX,D,20221116,00:00,2114.2000000
YNDX,D,20221117,00:00,2097.8000000
YNDX,D,20221118,00:00,2098.2000000
YNDX,D,20221121,00:00,2068.0000000
YNDX,D,20221122,00:00,2083.8000000
YNDX,D,20221123,00:00,2135.0000000
YNDX,D,20221124,00:00,2130.0000000
YNDX,D,20221125,00:00,2020.4000000
YNDX,D,20221128,00:00,1914.2000000
YNDX,D,20221129,00:00,1986.2000000
YNDX,D,20221130,00:00,1996.6000000
YNDX,D,20221201,00:00,1980.2000000
YNDX,D,20221202,00:00,1971.2000000
YNDX,D,20221205,00:00,1985.8000000
YNDX,D,20221206,00:00,1989.4000000
YNDX,D,20221207,00:00,1976.4000000
YNDX,D,20221208,00:00,1958.4000000
YNDX,D,20221209,00:00,1949.4000000
YNDX,D,20221212,00:00,1921.8000000
YNDX,D,20221213,00:00,1899.2000000
YNDX,D,20221214,00:00,1831.2000000
